(4, 7, 1)	1	0	337290	211675	18	17
(7, 4, 1)	2	0	521002	328200	41	41
(4, 8, 1)	1	0	283231	625318	28	27
(8, 4, 1)	2	0	538906	257441	26	26
(4, 9, 1)	1	0	139223	51453	16	15
(9, 4, 1)	2	0	33764	267753	15	15
(4, 10, 1)	1	0	386247	694820	27	26
(10, 4, 1)	2	0	850130	319479	31	31
(4, 11, 1)	1	0	303251	818950	32	31
(11, 4, 1)	2	0	609637	195543	19	19
(5, 6, 1)	2	0	397537	205071	12	12
(6, 5, 1)	1	0	803567	871425	36	35
(5, 7, 1)	0	0	997020	936177	109	109
(7, 5, 1)	2	0	448894	646131	30	30
(5, 8, 1)	2	0	284172	93620	11	11
(8, 5, 1)	2	0	622964	818619	37	37
(5, 9, 1)	2	0	277455	43045	10	10
(9, 5, 1)	2	0	32574	407659	15	15
(5, 10, 1)	2	0	650662	550831	20	20
(10, 5, 1)	2	0	723658	625900	24	24
(5, 11, 1)	1	0	772715	781373	37	36
(11, 5, 1)	2	0	677945	498491	24	24
(6, 7, 1)	1	0	734135	504436	33	32
(7, 6, 1)	2	0	403992	698234	29	29
(6, 8, 1)	1	0	639462	606179	31	30
(8, 6, 1)	1	0	533738	598014	24	23
(6, 9, 1)	1	0	509635	162986	24	23
(9, 6, 1)	1	0	217882	874655	45	44
(6, 10, 1)	1	0	295549	535246	16	15
(10, 6, 1)	1	0	661323	435247	19	18
(6, 11, 1)	1	0	391058	318779	20	19
(11, 6, 1)	1	0	374103	471473	18	17
(7, 8, 1)	1	0	276847	484701	23	22
(8, 7, 1)	1	0	535138	440506	24	23
(7, 9, 1)	1	0	424481	124437	27	26
(9, 7, 1)	1	0	56230	232883	21	20
(7, 10, 1)	1	0	442459	862787	37	36
(10, 7, 1)	2	0	753133	363346	27	27
(7, 11, 1)	2	0	267824	459989	16	16
(11, 7, 1)	2	2	999338	882438	106	106
(8, 9, 1)	1	0	419263	118688	22	21
(9, 8, 1)	2	0	46872	213673	15	15
(8, 10, 1)	1	0	384171	722368	23	22
(10, 8, 1)	2	0	410705	247919	23	23
(8, 11, 1)	2	0	673410	945147	36	36
(11, 8, 1)	2	0	879410	415457	28	28
(9, 10, 1)	2	0	52036	526785	14	14
(10, 9, 1)	2	0	881958	104886	36	36
(9, 11, 1)	2	0	49705	344416	14	14
(11, 9, 1)	1	0	260734	23033	17	16
(10, 11, 1)	1	0	853026	870662	36	35
(11, 10, 1)	2	0	949893	792102	35	35
(0, 1, 2)	0	0	980293	960922	107	107
(1, 0, 2)	2	0	371035	180781	19	19
(0, 2, 2)	1	0	232448	551865	15	14
(2, 0, 2)	2	0	514923	162220	15	15
(0, 3, 2)	1	0	943733	936997	61	60
(3, 0, 2)	2	0	794623	721243	40	40
(0, 4, 2)	1	0	710161	630328	32	31
(4, 0, 2)	2	0	480416	502839	24	24
(0, 5, 2)	1	0	101968	288636	12	11
(5, 0, 2)	2	0	596518	315152	19	19
(0, 6, 2)	1	0	79724	337951	13	12
(6, 0, 2)	2	0	612671	394932	20	20
(0, 7, 2)	1	0	155791	245632	18	17
(7, 0, 2)	2	0	424205	477330	24	24
(0, 8, 2)	1	0	107001	353849	22	21
(8, 0, 2)	2	0	683164	605929	34	34
(0, 9, 2)	1	0	312384	55703	21	20
(9, 0, 2)	2	0	56892	156230	19	19
(0, 10, 2)	1	0	77944	212572	13	12
(10, 0, 2)	2	0	754525	364584	23	23
(0, 11, 2)	1	0	123620	262771	16	15
(11, 0, 2)	2	0	741339	630197	31	31
(1, 2, 2)	0	0	957410	999448	107	107
(2, 1, 2)	2	0	610282	350789	20	20
(1, 3, 2)	2	0	445364	175021	23	23
(3, 1, 2)	2	0	886533	633459	41	41
(1, 4, 2)	1	0	607926	535491	27	26
(4, 1, 2)	2	0	718725	383653	22	22
(1, 5, 2)	1	0	220177	298053	10	9
